Part,Ward,Booth Address,Total,
1500359,999,"Govt. Higher Primary School, Mallasandra",736,
1500360,999,"Govt. Lower Primary School, Giddena Halli",1226,
1500361,999,"Govt. Lower Primary School,Garudacharapalya (Mahimannanapalya)",466,
1500362,999,"Govt. Higher Primary School, Room No.1, Kadabagere",944,
1500363,999,"Govt. Higher Primary School, Room No.2, Kadabagere",928,
1500364,999,"Govt. Higher Primary School, Room No.3, Kadabagere",957,
1500365,999,"Govt Higher Primary School, Room No.1, Arkavathi Nagara",1328,
1500366,999,"Janapriya Techno  School,Room No.1, Janapriya Town Ship",1123,
1500367,999,"Janapriya Techno School, Room No.2, Janapriya Town Ship",1152,
1500368,999,"Govt. Higher Primary School, Room No.1, Chikka Gollara Hatti",949,
1500369,999,"Govt. Higher Primary School, Room No.6, Chikka Gollara Hatti",1053,
1500370,999,"Govt. Higher Primary School, Room No.4, Chikka Gollara Hatti",1102,
1500371,999,"Govt. Higher Primary School, Room No.2, Chikka Gollara Hatti",1062,
1500372,999,"Govt. Higher Primary School, Room No.7, Chikka Gollara Hatti",1045,
1500373,999,"Govt. Higher Primary School, Room No.5, Chikka Gollara Hatti",1217,
